index,rdate,rid,hid,class,distance,jname,tname,exweight,bardraw,rating,horseweight,rank,finishm,win_t5,place_t5,ind_win,ind_pla,velocity,straight,width,humidity
110386,2019-10-23,1,1,31.560311284046694,1650,0.0,8.740016691519521,132.0,4.0,39.0,999.0,2,9976.0,9.6,3.3,0,1,1653.9695268644748,335,19.5,2.75
110387,2019-10-23,1,2,31.560311284046694,1650,8.703008637464448,8.27893600229198,131.0,12.0,38.0,1019.0,6,10017.0,17.0,4.3,0,0,1647.1997604073076,335,19.5,2.75
110388,2019-10-23,1,3,31.560311284046694,1650,8.478244441277663,4.77912349311153,128.0,3.0,35.0,1010.0,9,10034.0,5.9,1.9,0,0,1644.4090093681482,335,19.5,2.75
110389,2019-10-23,1,4,31.560311284046694,1650,7.259116128097101,8.491875383431948,128.0,9.0,35.0,1044.0,11,10116.0,23.0,5.1,0,0,1631.079478054567,335,19.5,2.75
110390,2019-10-23,1,5,31.560311284046694,1650,8.046869510959576,8.356789669923213,126.0,8.0,33.0,1017.0,4,9995.0,2.7,1.5,0,0,1650.825412706353,335,19.5,2.75
110391,2019-10-23,1,6,31.560311284046694,1650,0.0,8.297294370266917,125.0,10.0,32.0,1042.0,7,10027.0,32.0,8.6,0,0,1645.5569961105016,335,19.5,2.75
110392,2019-10-23,1,7,31.560311284046694,1650,6.655440350367647,8.735364401103888,124.0,11.0,31.0,1124.0,10,10105.0,18.0,4.4,0,0,1632.8550222662047,335,19.5,2.75
110393,2019-10-23,1,8,31.560311284046694,1650,6.091309882077698,8.454466361507933,124.0,6.0,31.0,1159.0,12,10154.0,42.0,9.9,0,0,1624.9753791609219,335,19.5,2.75
110394,2019-10-23,1,9,31.560311284046694,1650,7.9865049385539955,7.889084407035514,121.0,2.0,28.0,1163.0,5,10006.0,18.0,4.7,0,0,1649.0105936438138,335,19.5,2.75
110395,2019-10-23,1,10,31.560311284046694,1650,5.111987788356544,8.262300941787448,120.0,1.0,27.0,1049.0,3,9995.0,6.6,2.2,0,1,1650.825412706353,335,19.5,2.75
110396,2019-10-23,1,11,31.560311284046694,1650,8.035602692918582,7.820037989458753,115.0,5.0,22.0,1075.0,1,9968.0,7.3,2.2,1,1,1655.2969502407705,335,19.5,2.75
110397,2019-10-23,1,12,31.560311284046694,1650,8.335431477880796,8.363575702750637,113.0,7.0,18.0,1030.0,8,10033.0,33.0,6.6,0,0,1644.5729093989833,335,19.5,2.75
110398,2019-10-23,2,1,31.560311284046694,1000,6.655440350367647,8.744647438317532,133.0,8.0,39.0,1035.0,10,5841.0,19.0,5.8,0,0,1712.035610340695,335,19.5,2.75
110399,2019-10-23,2,2,31.560311284046694,1000,8.703008637464448,8.262300941787448,132.0,12.0,38.0,1059.0,4,5774.0,12.0,2.5,0,0,1731.9016279875302,335,19.5,2.75
