index,rdate,rid,hid,class,distance,jname,tname,exweight,bardraw,rating,horseweight,rank,finishm,win_t5,place_t5,ind_win,ind_pla,velocity,straight,width,humidity
110386,2019-11-06,1,1,51.20929941722318,1200,8.703008637464448,7.889084407035514,133.0,9.0,58.0,1136.0,8,7016.0,6.2,2.3,0,0,1710.376282782212,338,26.5,3.0
110387,2019-11-06,1,2,51.20929941722318,1200,6.091309882077698,8.735364401103888,129.0,4.0,54.0,1192.0,6,6998.0,19.0,5.5,0,0,1714.7756501857673,338,26.5,3.0
110388,2019-11-06,1,3,51.20929941722318,1200,8.478244441277663,8.417372856134026,127.0,2.0,52.0,1179.0,9,7026.0,24.0,5.7,0,0,1707.9419299743809,338,26.5,3.0
110389,2019-11-06,1,4,51.20929941722318,1200,5.111987788356544,0.0,127.0,7.0,52.0,1153.0,5,6989.0,5.0,1.7,0,0,1716.9838317355845,338,26.5,3.0
110390,2019-11-06,1,5,51.20929941722318,1200,0.0,0.0,122.61638888121101,4.0,51.20929941722318,1106.368874062333,0,100000.0,13.0,4.3,0,0,120.0,338,26.5,3.0
110391,2019-11-06,1,6,51.20929941722318,1200,8.384347278082808,8.356789669923213,125.0,12.0,50.0,1155.0,7,7013.0,99.0,22.0,0,0,1711.1079423926992,338,26.5,3.0
110392,2019-11-06,1,7,51.20929941722318,1200,6.056784013228625,8.337109129562474,125.0,8.0,50.0,1195.0,4,6989.0,9.1,2.9,0,0,1716.9838317355845,338,26.5,3.0
110393,2019-11-06,1,8,51.20929941722318,1200,7.9865049385539955,8.724207360800564,124.0,6.0,49.0,1166.0,11,7078.0,13.0,3.6,0,0,1695.3941791466516,338,26.5,3.0
110394,2019-11-06,1,9,51.20929941722318,1200,8.046869510959576,8.558718938244736,123.0,3.0,48.0,1093.0,2,6960.0,7.6,2.5,0,1,1724.1379310344828,338,26.5,3.0
110395,2019-11-06,1,10,51.20929941722318,1200,8.227375506834035,6.327936783729195,123.0,5.0,48.0,1106.0,3,6983.0,19.0,4.8,0,1,1718.4591149935559,338,26.5,3.0
110396,2019-11-06,1,11,51.20929941722318,1200,7.384610383176974,4.77912349311153,122.0,1.0,47.0,1056.0,1,6925.0,3.9,1.8,1,1,1732.8519855595669,338,26.5,3.0
110397,2019-11-06,1,12,51.20929941722318,1200,8.035602692918582,8.507142855562735,116.0,10.0,41.0,994.0,10,7070.0,15.0,4.7,0,0,1697.3125884016972,338,26.5,3.0
110398,2019-11-06,2,1,31.560311284046694,1650,8.703008637464448,8.740016691519521,133.0,9.0,40.0,980.0,4,10061.0,3.5,1.8,0,0,1639.9960242520624,338,26.5,3.0
110399,2019-11-06,2,2,31.560311284046694,1650,8.046869510959576,8.337109129562474,133.0,11.0,40.0,1155.0,5,10063.0,7.4,2.3,0,0,1639.6700785054159,338,26.5,3.0
110400,2019-11-06,2,3,31.560311284046694,1650,6.63200177739563,8.356789669923213,131.0,1.0,38.0,1177.0,3,10047.0,9.3,1.8,0,1,1642.2812779934309,338,26.5,3.0
110401,2019-11-06,2,4,31.560311284046694,1650,8.331827004436057,7.628517626575055,131.0,7.0,38.0,1082.0,12,10195.0,79.0,17.0,0,0,1618.4404119666503,338,26.5,3.0
110402,2019-11-06,2,5,31.560311284046694,1650,6.056784013228625,7.889084407035514,131.0,4.0,38.0,1114.0,10,10135.0,33.0,8.9,0,0,1628.0217069560927,338,26.5,3.0
110403,2019-11-06,2,6,31.560311284046694,1650,8.227375506834035,8.363575702750637,130.0,8.0,37.0,962.0,6,10065.0,5.1,1.8,0,0,1639.344262295082,338,26.5,3.0
110404,2019-11-06,2,7,31.560311284046694,1650,8.335431477880796,8.262300941787448,130.0,2.0,37.0,1055.0,11,10136.0,20.0,5.3,0,0,1627.861089187056,338,26.5,3.0
110405,2019-11-06,2,8,31.560311284046694,1650,6.091309882077698,8.724207360800564,130.0,5.0,37.0,1026.0,9,10114.0,77.0,17.0,0,0,1631.40201700613,338,26.5,3.0
110406,2019-11-06,2,9,31.560311284046694,1650,0.0,8.507142855562735,128.0,10.0,35.0,1128.0,7,10079.0,13.0,3.6,0,0,1637.06716936204,338,26.5,3.0
