index,rdate,rid,hid,venue,track,going,course,class,distance,rfinishm,rm1,rm2,rm3,rm4,rm5,rm6,horsenum,jname,tname,exweight,bardraw,gear,rating,ratechg,horseweight,horseweightchg,besttime,age,priority,lastsix,rank,runpos,p1,p2,p3,p4,p5,p6,m1,m2,m3,m4,m5,m6,finishm,d1,d2,d3,d4,d5,d6,datediff,pricemoney,windist,win_t5,win,place_t5,place,ind_win,ind_pla
110608,2019-11-09,9,6,ST,TURF,GOOD TO FIRM,A,Class 3,2000,12049,2534,2376,2452,2356,2331,0,B137,H W Lai,C S Shum,122,6,B/TT,69,0,1127,+2,2.03.30,5,2,4/1/1/3/4/3,7,11-11-11-10-7,11,11,11,10,7,0,2642,2412,2416,2320,2327,0,12117,6.75,9,6.75,4.5,4.25,0,10,"HK$ 1,450,000",4-1/4,17.0,23.0,5.0,5.9,0,0
110609,2019-11-09,9,7,ST,TURF,GOOD TO FIRM,A,Class 3,2000,12049,2534,2376,2452,2356,2331,0,C510,N Callan,C W Chang,122,10,B,69,-2,1072,-4,,4,1,9/11,12,3-3-4-3-12,3,3,4,3,12,0,2562,2396,2444,2348,2455,0,12204,1.75,3,2.5,2,9.75,0,13,"HK$ 1,450,000",9-3/4,99.0,99.0,18.0,27.0,0,0
110610,2019-11-09,9,8,ST,TURF,GOOD TO FIRM,A,Class 3,2000,12049,2534,2376,2452,2356,2331,0,C029,Z Purton,C H Yip,125,4,,72,-2,1050,+1,,5,2,7/7/5/8/1/8,1,7-7-8-6-1,7,7,8,6,1,0,2606,2412,2432,2312,2287,0,12049,4.5,6.75,5.5,2.75,1.25,0,10,"HK$ 1,450,000",1-1/4,9.8,5.6,3.9,2.1,1,1
110611,2019-11-09,9,9,ST,TURF,GOOD TO FIRM,A,Class 3,2000,12049,2534,2376,2452,2356,2331,0,C183,A Badel,K H Ting,121,5,CP/TT,68,0,1076,-4,2.03.75,5,1,5/2/5/4/10/5,8,8-9-9-11-8,8,9,9,11,8,0,2610,2420,2436,2324,2336,0,12126,4.75,7.5,6.5,4.5,4.75,0,39,"HK$ 1,450,000",4-3/4,5.8,6.7,2.1,2.0,0,0
110612,2019-11-09,9,10,ST,TURF,GOOD TO FIRM,A,Class 3,2000,12049,2534,2376,2452,2356,2331,0,T146,M F Poon,A S Cruz,119,3,B/H/TT,66,-2,1100,+6,2.01.80,8,2,12/7/10/7/8/12,14,1-1-1-2-14,1,1,1,2,14,0,2534,2376,2452,2360,2555,0,12277,0.5,1.5,0.75,N,14.25,0,10,"HK$ 1,450,000",14-1/4,25.0,29.0,8.1,9.6,0,0
110613,2019-11-09,9,11,ST,TURF,GOOD TO FIRM,A,Class 3,2000,12049,2534,2376,2452,2356,2331,0,A172,K C Leung,P O'Sullivan,118,1,,65,-2,1056,-3,2.01.83,7,1,8/3/11/6/9/9,9,5-5-5-5-9,5,5,5,5,9,0,2578,2416,2424,2340,2392,0,12150,2.75,5.25,3.5,2.5,6.25,0,10,"HK$ 1,450,000",6-1/4,29.0,24.0,7.1,7.1,0,0
110614,2019-11-09,9,12,ST,TURF,GOOD TO FIRM,A,Class 3,2000,12049,2534,2376,2452,2356,2331,0,V378,J Moreira,C H Yip,117,8,V,64,+1,1184,+16,2.04.69,7,1,2/1/1/3/3/2,11,4-4-6-7-11,4,4,6,7,11,0,2566,2420,2436,2348,2427,0,12197,2,4.75,3.75,3.25,9.25,0,24,"HK$ 1,450,000",9-1/4,11.0,12.0,3.3,3.5,0,0
110615,2019-11-09,9,13,ST,TURF,GOOD TO FIRM,A,Class 3,2000,12049,2534,2376,2452,2356,2331,0,C159,M Chadwick,C Fownes,117,13,,64,0,1104,-12,2.04.07,5,1,3/10/6/7/1/5,4,12-12-12-12-4,12,12,12,12,4,0,2666,2408,2420,2308,2286,0,12088,8.25,10.25,8.25,5.25,2.5,0,6,"HK$ 1,450,000",2-1/2,22.0,16.0,5.7,4.9,0,0
110616,2019-11-09,9,14,ST,TURF,GOOD TO FIRM,A,Class 3,2000,12049,2534,2376,2452,2356,2331,0,B299,A Sanna,F C Lor,117,14,CP,62,-1,1135,+13,,4,1,4/7/4/8/6/1,13,13-14-14-14-13,13,14,14,14,13,0,2698,2400,2436,2336,2381,0,12250,10.25,11.75,10.75,9.5,12.5,0,13,"HK$ 1,450,000",12-1/2,32.0,40.0,8.2,10.0,0,0
110617,2019-11-09,10,1,ST,TURF,GOOD TO FIRM,A,Class 3,1400,8136,1328,2159,2352,2297,0,0,C496,A Badel,D E Ferraris,133,7,TT1,80,0,1021,+6,,5,+1,11,13,11-12-13-13,11,12,13,13,0,0,1408,2199,2324,2403,0,0,8334,5,7.5,5.75,12.25,0,0,39,"HK$ 1,450,000",12-1/4,99.0,99.0,16.0,27.0,0,0
110618,2019-11-09,10,2,ST,TURF,GOOD TO FIRM,A,Class 3,1400,8136,1328,2159,2352,2297,0,0,A127,M Chadwick,P O'Sullivan,132,9,B-/BO1,79,-1,1154,-24,1.21.86,6,+1,7/3/7/1/8/8,9,14-14-11-9,14,14,11,9,0,0,1444,2183,2272,2291,0,0,8190,7.25,8.75,3.75,3.25,0,0,28,"HK$ 1,450,000",3-1/4,23.0,22.0,7.2,7.2,0,0
110619,2019-11-09,10,3,ST,TURF,GOOD TO FIRM,A,Class 3,1400,8136,1328,2159,2352,2297,0,0,B380,J Moreira,A T Millard,131,14,,78,+6,1075,+20,1.21.32,5,+1,1/3/1/1/3/5,3,13-11-12-3,13,11,12,3,0,0,1424,2167,2324,2243,0,0,8158,6,6.5,4.75,1.5,0,0,39,"HK$ 1,450,000",1-1/2,4.5,5.2,2.2,2.1,0,1
110620,2019-11-09,10,4,ST,TURF,GOOD TO FIRM,A,Class 3,1400,8136,1328,2159,2352,2297,0,0,A354,G van Niekerk,P F Yiu,126,3,B,73,+2,1228,+15,1.21.49,5,+1,2/3/11/4/4/3,11,7-6-6-11,7,6,6,11,0,0,1376,2167,2336,2342,0,0,8221,3,3.5,2.5,5.25,0,0,28,"HK$ 1,450,000",5-1/4,5.4,5.9,1.6,1.9,0,0
110621,2019-11-09,10,5,ST,TURF,GOOD TO FIRM,A,Class 3,1400,8136,1328,2159,2352,2297,0,0,C041,B Shinn,C S Shum,126,10,B,73,+5,1248,+10,1.21.41,4,1,1/4/4/2/2/1,7,2-3-3-7,2,3,3,7,0,0,1352,2163,2344,2323,0,0,8182,1.5,1.75,1.25,3,0,0,28,"HK$ 1,450,000",3,12.0,8.7,4.8,2.7,0,0
110622,2019-11-09,10,6,ST,TURF,GOOD TO FIRM,A,Class 3,1400,8136,1328,2159,2352,2297,0,0,D059,K Teetan,D J Whyte,123,2,XB,70,0,1057,-11,,4,+1,14,10,9-9-9-10,9,9,9,10,0,0,1400,2167,2328,2323,0,0,8218,4.5,5,3.5,5.25,0,0,20,"HK$ 1,450,000",5-1/4,67.0,96.0,16.0,22.0,0,0
110623,2019-11-09,10,7,ST,TURF,GOOD TO FIRM,A,Class 3,1400,8136,1328,2159,2352,2297,0,0,B227,M L Yeung,T P Yung,121,12,B,68,0,1084,+4,1.21.60,5,+1,10/3/3/5/5/1,8,1-2-1-8,1,2,1,8,0,0,1328,2175,2336,2344,0,0,8183,1.5,1,0.5,3,0,0,20,"HK$ 1,450,000",3,19.0,19.0,5.5,6.1,0,0
110624,2019-11-09,10,8,ST,TURF,GOOD TO FIRM,A,Class 3,1400,8136,1328,2159,2352,2297,0,0,B383,K H Chan,A S Cruz,120,4,B/TT,67,0,1098,+1,1.21.04,5,1,3/4/1/14/2/3,6,3-4-4-6,3,4,4,6,0,0,1352,2171,2340,2309,0,0,8172,1.5,2.25,1.5,2.25,0,0,20,"HK$ 1,450,000",2-1/4,8.7,6.7,2.5,2.5,0,0
110625,2019-11-09,10,9,ST,TURF,GOOD TO FIRM,A,Class 3,1400,8136,1328,2159,2352,2297,0,0,C225,Z Purton,F C Lor,119,6,XB/TT1,66,0,1150,+4,1.21.18,4,+1,4/2/1/1,4,8-8-8-4,8,8,8,4,0,0,1392,2171,2328,2274,0,0,8165,4,4.75,3.25,1.75,0,0,20,"HK$ 1,450,000",1-3/4,5.5,6.1,2.5,2.2,0,0
110626,2019-11-09,10,10,ST,TURF,GOOD TO FIRM,A,Class 3,1400,8136,1328,2159,2352,2297,0,0,B391,K C Leung,W Y So,119,5,,66,0,1048,-10,1.22.67,5,+1,4/1/5/2/1,1,6-5-5-1,6,5,5,1,0,0,1372,2167,2336,2261,0,0,8136,2.75,3.25,2.25,N,0,0,34,"HK$ 1,450,000",N,10.0,11.0,3.0,3.2,1,1
110627,2019-11-09,10,11,ST,TURF,GOOD TO FIRM,A,Class 3,1400,8136,1328,2159,2352,2297,0,0,B271,L Hewitson,J Moore,119,11,B/TT,66,0,1026,-13,1.22.06,6,+1,4/1/1/3/10/4,2,12-10-10-2,12,10,10,2,0,0,1412,2167,2316,2245,0,0,8140,5.25,5.75,3.5,N,0,0,20,"HK$ 1,450,000",N,11.0,13.0,3.2,3.7,0,1
110628,2019-11-09,10,12,ST,TURF,GOOD TO FIRM,A,Class 3,1400,8136,1328,2159,2352,2297,0,0,B430,C Y Ho,K H Ting,118,8,B/H,65,+1,1097,-1,1.21.52,5,+1,3/9/5/8/4/7,12,5-7-7-12,5,7,7,12,0,0,1372,2187,2332,2409,0,0,8300,2.75,4.5,3.25,10.25,0,0,28,"HK$ 1,450,000",10-1/4,14.0,9.5,4.2,3.2,0,0
110629,2019-11-09,10,13,ST,TURF,GOOD TO FIRM,A,Class 3,1400,8136,1328,2159,2352,2297,0,0,T380,A Sanna,Y S Tsui,117,1,,64,0,1018,+1,1.21.32,8,*1,5/2/3/1/7/8,5,10-13-14-5,10,13,14,5,0,0,1408,2215,2320,2224,0,0,8167,5,8.5,6.5,2,0,0,20,"HK$ 1,450,000",2,16.0,23.0,4.6,6.3,0,0
110630,2019-11-09,10,14,ST,TURF,GOOD TO FIRM,A,Class 3,1400,8136,1328,2159,2352,2297,0,0,T254,H N Wong,C W Chang,113,13,CP,61,-2,1320,+6,,8,*1,7/9/8/9/8/7,14,4-1-2-14,4,1,2,14,0,0,1356,2131,2360,2535,0,0,8382,1.75,1,0.5,15.25,0,0,28,"HK$ 1,450,000",15-1/4,99.0,99.0,25.0,42.0,0,0
