index,rdate,rid,hid,class,distance,jname,tname,exweight,bardraw,rating,horseweight,rank,finishm,win_t5,place_t5,ind_win,ind_pla,velocity,straight,width,humidity
110386,2019-10-16,1,1,31.560311284046694,1800,7.259116128097101,4.77912349311153,133.0,9.0,37.0,1209.0,5,11058.0,12.0,3.7,0,0,1627.7807921866522,334,22.5,3.0
110387,2019-10-16,1,2,31.560311284046694,1800,8.046869510959576,8.735364401103888,133.0,2.0,37.0,1171.0,4,11048.0,2.3,1.4,0,0,1629.2541636495293,334,22.5,3.0
110388,2019-10-16,1,3,31.560311284046694,1800,6.091309882077698,8.363575702750637,131.0,4.0,35.0,1063.0,3,11046.0,6.6,1.8,0,1,1629.5491580662683,334,22.5,3.0
110389,2019-10-16,1,4,31.560311284046694,1800,0.0,8.507142855562735,131.0,10.0,35.0,1118.0,7,11067.0,13.0,3.5,0,0,1626.457034426674,334,22.5,3.0
110390,2019-10-16,1,5,31.560311284046694,1800,8.478244441277663,8.356789669923213,129.0,5.0,33.0,1165.0,1,11032.0,12.0,2.7,1,1,1631.6171138506163,334,22.5,3.0
110391,2019-10-16,1,6,31.560311284046694,1800,1.6094379124341003,8.744647438317532,127.0,8.0,31.0,1208.0,11,11134.0,24.0,6.3,0,0,1616.6696604993713,334,22.5,3.0
110392,2019-10-16,1,7,31.560311284046694,1800,8.227375506834035,8.491875383431948,126.0,7.0,30.0,1039.0,10,11109.0,13.0,3.6,0,0,1620.3078584931136,334,22.5,3.0
110393,2019-10-16,1,8,31.560311284046694,1800,0.0,8.262300941787448,119.0,3.0,23.0,1121.0,9,11102.0,6.7,2.2,0,0,1621.3294901819493,334,22.5,3.0
110394,2019-10-16,1,9,31.560311284046694,1800,8.384347278082808,8.724207360800564,117.0,6.0,21.0,1024.0,8,11088.0,39.0,8.6,0,0,1623.3766233766235,334,22.5,3.0
110395,2019-10-16,1,10,31.560311284046694,1800,7.239214973779806,8.454466361507933,116.0,1.0,20.0,1229.0,6,11060.0,13.0,3.8,0,0,1627.48643761302,334,22.5,3.0
