index,rdate,rid,hid,class,distance,jname,tname,exweight,bardraw,rating,horseweight,rank,finishm,win_t5,place_t5,ind_win,ind_pla,velocity,straight,width,humidity
110605,2019-10-12,9,12,87.77822148631537,1000,6.63200177739563,8.558718938244736,114.0,4.0,81.0,1053.0,14,5622.0,41.0,9.4,0,0,1778.7264318747777,430,21.3,2.75
110606,2019-10-12,9,13,87.77822148631537,1000,8.331827004436057,8.735364401103888,114.0,10.0,81.0,1085.0,11,5581.0,15.0,3.3,0,0,1791.7935853789643,430,21.3,2.75
110607,2019-10-12,9,14,87.77822148631537,1000,8.00836557031292,7.820037989458753,113.0,3.0,80.0,1181.0,7,5558.0,99.0,22.0,0,0,1799.2083483267363,430,21.3,2.75
110608,2019-10-12,10,1,69.93396499768197,1400,0.0,0.0,122.61638888121101,4.0,69.93396499768197,1106.368874062333,0,100000.0,38.0,9.1,0,1,140.0,430,21.3,2.75
110609,2019-10-12,10,2,69.93396499768197,1400,8.331827004436057,7.628517626575055,131.0,4.0,78.0,1188.0,9,8199.0,12.0,2.3,0,0,1707.525307964386,430,21.3,2.75
110610,2019-10-12,10,3,69.93396499768197,1400,0.0,8.507142855562735,124.0,1.0,71.0,1213.0,2,8150.0,7.6,2.3,0,1,1717.7914110429447,430,21.3,2.75
110611,2019-10-12,10,4,69.93396499768197,1400,8.703008637464448,7.820037989458753,124.0,10.0,71.0,1156.0,8,8185.0,4.5,1.8,0,0,1710.445937690898,430,21.3,2.75
110612,2019-10-12,10,5,69.93396499768197,1400,7.259116128097101,8.27893600229198,124.0,13.0,71.0,1080.0,11,8212.0,99.0,23.0,0,0,1704.822211397954,430,21.3,2.75
110613,2019-10-12,10,6,69.93396499768197,1400,8.046869510959576,8.417372856134026,121.0,5.0,68.0,1238.0,1,8141.0,3.0,1.5,1,1,1719.6904557179707,430,21.3,2.75
110614,2019-10-12,10,7,69.93396499768197,1400,7.384610383176974,8.558718938244736,121.0,7.0,68.0,1190.0,4,8158.0,29.0,6.2,0,0,1716.1068889433684,430,21.3,2.75
110615,2019-10-12,10,8,69.93396499768197,1400,8.227375506834035,4.77912349311153,117.0,3.0,64.0,1098.0,3,8152.0,25.0,6.7,0,1,1717.369970559372,430,21.3,2.75
110616,2019-10-12,10,9,69.93396499768197,1400,0.0,8.740016691519521,116.0,8.0,63.0,1172.0,6,8166.0,18.0,4.3,0,0,1714.4256674014205,430,21.3,2.75
110617,2019-10-12,10,10,69.93396499768197,1400,0.0,8.744647438317532,108.0,12.0,63.0,1184.0,12,8229.0,66.0,13.0,0,0,1701.3002794993317,430,21.3,2.75
110618,2019-10-12,10,11,69.93396499768197,1400,7.239214973779806,8.724207360800564,116.0,2.0,63.0,1076.0,10,8211.0,99.0,30.0,0,0,1705.0298380221654,430,21.3,2.75
110619,2019-10-12,10,12,69.93396499768197,1400,6.63200177739563,8.363575702750637,115.0,11.0,62.0,1118.0,13,8334.0,99.0,32.0,0,0,1679.86561075114,430,21.3,2.75
110620,2019-10-12,10,13,69.93396499768197,1400,5.111987788356544,6.327936783729195,115.0,6.0,62.0,1131.0,7,8183.0,19.0,4.9,0,0,1710.8639863130882,430,21.3,2.75
110621,2019-10-12,10,14,69.93396499768197,1400,8.035602692918582,8.337109129562474,113.0,9.0,60.0,1004.0,5,8161.0,4.9,1.8,0,0,1715.4760446023772,430,21.3,2.75
