index,rdate,rid,hid,venue,track,going,course,class,distance,rfinishm,rm1,rm2,rm3,rm4,rm5,rm6,horsenum,jname,tname,exweight,bardraw,gear,rating,ratechg,horseweight,horseweightchg,besttime,age,priority,lastsix,rank,runpos,p1,p2,p3,p4,p5,p6,m1,m2,m3,m4,m5,m6,finishm,d1,d2,d3,d4,d5,d6,datediff,pricemoney,windist,win_t5,win,place_t5,place,ind_win,ind_pla
110386,2019-10-30,1,1,HV,TURF,GOOD,A,Class 5,2200,13914,1421,2451,2657,2643,2379,2364,B286,Z Purton,C H Yip,133,9,E/TT,40,-1,1092,+19,,5,1,4/8/12/9/9/3,6,8-9-9-9-4-6,8,9,9,9,4,6,1513,2495,2665,2603,2295,2430,14001,5.75,8.5,9,6.5,1.25,5.25,21,"HK$ 725,000",5-1/4,5.5,5.9,2.3,2.1,0,0
110387,2019-10-30,1,2,HV,TURF,GOOD,A,Class 5,2200,13914,1421,2451,2657,2643,2379,2364,A307,J Moreira,C S Shum,132,2,B,39,-2,1096,-28,2.18.33,6,1,11/10/4/7/2/5,5,4-3-4-4-6-5,4,3,4,4,6,5,1465,2455,2669,2619,2375,2397,13980,2.75,3.0,3.75,2.25,2.0,4.0,29,"HK$ 725,000",4,3.8,4.1,1.7,1.7,0,0
110388,2019-10-30,1,3,HV,TURF,GOOD,A,Class 5,2200,13914,1421,2451,2657,2643,2379,2364,C251,L Hewitson,C Fownes,130,5,,37,0,1154,-17,,4,1,4/3/3/9/5/9,7,3-4-3-3-1-7,3,4,3,3,1,7,1449,2483,2649,2627,2343,2451,14002,1.75,3.75,3.25,2.25,N,5.5,14,"HK$ 725,000",5-1/2,9.7,10.0,3.0,3.6,0,0
110389,2019-10-30,1,4,HV,TURF,GOOD,A,Class 5,2200,13914,1421,2451,2657,2643,2379,2364,V202,C Schofield,K H Ting,129,3,B/XB,36,-1,1225,+16,,7,+1,5/10/9/5/1/1,9,5-6-5-6-7-9,5,6,5,6,7,9,1477,2479,2657,2615,2363,2444,14035,3.5,5.25,5.25,3.5,2.5,7.5,14,"HK$ 725,000",7-1/2,6.8,7.9,2.8,2.4,0,0
110390,2019-10-30,1,5,HV,TURF,GOOD,A,Class 5,2200,13914,1421,2451,2657,2643,2379,2364,V232,A Sanna,K W Lui,128,6,V-/B2,35,0,1067,+4,,7,1,3/6/4/5/10/8,3,7-5-6-5-8-3,7,5,6,5,8,3,1505,2439,2669,2615,2375,2343,13946,5.25,4.5,5.25,3.5,3.25,2.0,14,"HK$ 725,000",2,5.0,5.9,1.8,1.9,0,1
110391,2019-10-30,1,6,HV,TURF,GOOD,A,Class 5,2200,13914,1421,2451,2657,2643,2379,2364,B448,C Y Ho,C H Yip,121,1,B,28,-3,1197,-11,,4,2,11/14/13/10/12/13,8,2-1-1-1-3-8,2,1,1,1,3,8,1421,2451,2657,2643,2383,2464,14019,SH,1.5,2,1.5,N,6.5,14,"HK$ 725,000",6-1/2,36.0,42.0,6.9,9.1,0,0
110392,2019-10-30,1,7,HV,TURF,GOOD,A,Class 5,2200,13914,1421,2451,2657,2643,2379,2364,B425,N Callan,R Gibson,120,4,B,27,-2,1149,+23,,4,1,7/4/7/6/11/9,4,1-2-2-2-5-4,1,2,2,2,5,4,1421,2475,2665,2635,2375,2387,13957,SH,1.5,2,1.5,1.25,2.75,24,"HK$ 725,000",2-3/4,11.0,6.7,2.7,2.1,0,0
110393,2019-10-30,1,8,HV,TURF,GOOD,A,Class 5,2200,13914,1421,2451,2657,2643,2379,2364,B107,M L Yeung,C W Chang,113,8,H/TT,19,+2,1102,+9,2.19.13,6,1,2/9/9/6/3/9,2,9-7-8-8-9-2,9,7,8,8,9,2,1525,2439,2677,2611,2363,2329,13944,6.5,5.75,7,5.0,4,1.75,14,"HK$ 725,000",1-3/4,11.0,11.0,2.8,2.7,0,1
110394,2019-10-30,1,9,HV,TURF,GOOD,A,Class 5,2200,13914,1421,2451,2657,2643,2379,2364,B292,G van Niekerk,D E Ferraris,113,7,B,19,-1,1217,-12,,5,1,6/6/7/9/10/10,1,6-8-7-7-2-1,6,8,7,7,2,1,1501,2483,2657,2603,2311,2360,13914,5,7.0,7,4.5,N,1.75,14,"HK$ 725,000",1-3/4,8.9,6.7,1.9,2.3,1,1
110395,2019-10-30,2,1,HV,TURF,GOOD,A,Class 4,1000,5688,1243,2142,2303,0,0,0,T334,K C Leung,L Ho,133,1,H-/P-,59,-2,1261,+6,0.56.84,8,+1,12/12/8/4/1/5,7,3-3-7,3,3,7,0,0,0,1259,2166,2346,0,0,0,5771,1,2.5,5.25,0.0,0,0.0,10,"HK$ 967,000",5-1/4,12.0,12.0,3.3,3.9,0,0
110396,2019-10-30,2,2,HV,TURF,GOOD,A,Class 4,1000,5688,1243,2142,2303,0,0,0,A398,A Sanna,W Y So,132,3,B2/TT,58,-3,1060,+2,0.57.21,6,+1,12/12/8/5/10/10,9,9-8-9,9,8,9,0,0,0,1299,2174,2304,0,0,0,5777,3.5,5.5,5.5,0.0,0,0.0,115,"HK$ 967,000",5-1/2,8.4,9.3,3.8,4.2,0,0
110397,2019-10-30,2,3,HV,TURF,GOOD,A,Class 4,1000,5688,1243,2142,2303,0,0,0,B178,K H Chan,A T Millard,132,6,,58,-2,1071,-13,0.57.19,4,+1,4/6/4/6/7/7,3,5-4-3,5,4,3,0,0,0,1279,2146,2316,0,0,0,5741,2.25,2.5,3.25,0.0,0,0.0,18,"HK$ 967,000",3-1/4,7.4,8.3,2.7,2.5,0,1
110398,2019-10-30,2,4,HV,TURF,GOOD,A,Class 4,1000,5688,1243,2142,2303,0,0,0,C333,J Moreira,J Size,130,10,B,56,0,1218,+8,0.57.36,4,+1,3/2/2/9,1,1-1-1,1,1,1,0,0,0,1243,2142,2303,0,0,0,5688,0.75,0.75,1.25,0.0,0,0.0,147,"HK$ 967,000",1-1/4,4.3,5.2,1.8,2.0,1,1
110399,2019-10-30,2,5,HV,TURF,GOOD,A,Class 4,1000,5688,1243,2142,2303,0,0,0,P421,H N Wong,C W Chang,126,4,H/TT,52,-1,1231,+5,,9,*1,8/7/2/2/1/10,11,11-11-11,11,11,11,0,0,0,1315,2194,2291,0,0,0,5800,4.5,7.75,7,0.0,0,0.0,24,"HK$ 967,000",7,43.0,52.0,7.5,10.0,0,0
110400,2019-10-30,2,6,HV,TURF,GOOD,A,Class 4,1000,5688,1243,2142,2303,0,0,0,C406,Z Purton,C Fownes,126,5,B-,52,0,1212,+24,,4,+1,7,8,7-5-8,7,5,8,0,0,0,1295,2158,2324,0,0,0,5777,3.25,4.25,5.5,0.0,0,0.0,39,"HK$ 967,000",5-1/2,6.8,7.1,3.5,2.7,0,0
110401,2019-10-30,2,7,HV,TURF,GOOD,A,Class 4,1000,5688,1243,2142,2303,0,0,0,B450,M Chadwick,P F Yiu,125,9,H1,51,-6,1095,+29,,4,+1,11/10,12,6-7-12,6,7,12,0,0,0,1283,2174,2366,0,0,0,5823,2.5,4.5,8.5,0.0,0,0.0,178,"HK$ 967,000",8-1/2,40.0,50.0,7.6,11.0,0,0
110402,2019-10-30,2,8,HV,TURF,GOOD,A,Class 4,1000,5688,1243,2142,2303,0,0,0,V235,N Callan,R Gibson,125,7,B,51,+2,1081,-3,0.56.84,6,+1,2/5/8/2/3/2,5,8-9-5,8,9,5,0,0,0,1295,2182,2280,0,0,0,5757,3.25,5.75,4.25,0.0,0,0.0,21,"HK$ 967,000",4-1/4,6.2,5.9,1.6,1.7,0,0
110403,2019-10-30,2,9,HV,TURF,GOOD,A,Class 4,1000,5688,1243,2142,2303,0,0,0,A300,C Y Ho,Y S Tsui,125,12,V,51,0,1115,-6,0.56.73,5,*1,10/1/2/1/6/6,2,2-2-2,2,2,2,0,0,0,1255,2142,2311,0,0,0,5708,0.75,0.75,1.25,0.0,0,0.0,39,"HK$ 967,000",1-1/4,13.0,9.4,5.0,3.1,0,1
110404,2019-10-30,2,10,HV,TURF,GOOD,A,Class 4,1000,5688,1243,2142,2303,0,0,0,C097,H T Mo,C S Shum,119,2,XB/TT,45,+7,1007,+11,0.58.31,4,*1,1/10/6/4/12/11,10,4-6-10,4,6,10,0,0,0,1275,2178,2345,0,0,0,5798,2,4.25,6.75,0.0,0,0.0,39,"HK$ 967,000",6-3/4,15.0,17.0,4.8,5.5,0,0
110405,2019-10-30,2,11,HV,TURF,GOOD,A,Class 4,1000,5688,1243,2142,2303,0,0,0,V376,M F Poon,K H Ting,117,11,SR,43,-1,1107,-1,0.57.70,6,*1,9/8/5/12/11/11,4,10-10-4,10,10,4,0,0,0,1311,2186,2254,0,0,0,5751,4.25,7.0,4,0.0,0,0.0,29,"HK$ 967,000",4,68.0,88.0,13.0,20.0,0,0
